,link,text
109,/de/mmr/reference/pre_20140519_1/source/pre_20140519_1.de.pdf,Verlängerung des Goldabkommens zwischen der SNB und anderen Zentralbanken
110,/de/mmr/reference/pre_20140430/source/pre_20140430.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 31. März 2014
111,/de/mmr/reference/pre_20140408/source/pre_20140408.de.pdf,Sanierung und Umbau der Gebäude der Nationalbank am Bundesplatz 1 und im Kaiserhaus 
112,/de/mmr/reference/pre_20140320/source/pre_20140320.de.pdf,Geldpolitische Lagebeurteilung vom 20. März 2014
113,/de/mmr/reference/pre_20140307/source/pre_20140307.de.pdf,Jahresergebnis 2013 der Schweizerischen Nationalbank
114,/de/mmr/reference/pre_20140228/source/pre_20140228.de.pdf,SNB-Bankrat: Rücktritt von Gerold Bührer und Nominierung von Heinz Karrer zuhanden der Generalversammlung 
115,/de/mmr/reference/pre_20140123/source/pre_20140123.de.pdf,Antrag der Schweizerischen Nationalbank auf Erhöhung des antizyklischen Kapitalpuffers
116,/de/mmr/reference/pre_20140122/source/pre_20140122.de.pdf,"Bundesbank, Oesterreichische Nationalbank und Schweizerische Nationalbank stiften Carl-Menger-Forschungspreis"
117,/de/mmr/reference/pre_20140106/source/pre_20140106.de.pdf,Jahresverlust der Nationalbank verunmöglicht Gewinnausschüttungen
118,/de/mmr/reference/pre_20131223_2/source/pre_20131223_2.de.pdf,Beförderungen bei der Schweizerischen Nationalbank 
119,/de/mmr/reference/pre_20131213_1/source/pre_20131213_1.de.pdf,Direktinvestitionen 2012 
120,/de/mmr/reference/pre_20131213_2/source/pre_20131213_2.de.pdf,Auslandvermögen der Schweiz 2012
121,/de/mmr/reference/pre_20131212/source/pre_20131212.de.pdf,Geldpolitische Lagebeurteilung vom 12. Dezember 2013
122,/de/mmr/reference/pre_20131203/source/pre_20131203.de.pdf,Emissionskalender der Bundesanleihen und Geldmarktbuchforderungen für das Jahr 2014
123,/de/mmr/reference/pre_20131120/source/pre_20131120.de.pdf,Vermögen der privaten Haushalte 2012
124,/de/mmr/reference/pre_20131111/source/pre_20131111.de.pdf,Verfügung der Schweizerischen Nationalbank betreffend Systemrelevanz
125,/de/mmr/reference/pre_20131108/source/pre_20131108.de.pdf,UBS kauft den StabFund von der SNB (mit Präsentation)
126,/de/mmr/reference/pre_20131101/source/pre_20131101.de.pdf,Urs Schönholzer neuer SNB-Delegierter für Wirtschaftskontakte in der Region Ostschweiz
127,/de/mmr/reference/pre_20131031_2/source/pre_20131031_2.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. September 2013
128,/de/mmr/reference/pre_20131031_1/source/pre_20131031_1.de.pdf,Zentralbanken überführen befristete Swap-Abkommen in unbefristete Abkommen
129,/de/mmr/reference/pre_20131001/source/pre_20131001.de.pdf,Ungültige Schweizer 1000-Franken-Noten in Umlauf
130,/de/mmr/reference/pre_20130919/source/pre_20130919.de.pdf,Geldpolitische Lagebeurteilung vom 19. September 2013
131,/de/mmr/reference/pre_20130905/source/pre_20130905.de.pdf,Umsätze auf den Devisen- und Derivatmärkten in der Schweiz - Erhebung 2013
132,/de/mmr/reference/pre_20130816/source/pre_20130816.de.pdf,SNB StabFund tilgt Darlehen der Schweizerischen Nationalbank
133,/de/mmr/reference/pre_20130815/source/pre_20130815.de.pdf,Die Zahlungsbilanz der Schweiz 2012
134,/de/mmr/reference/pre_20130730/source/pre_20130730.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. Juni 2013
135,/de/mmr/reference/pre_20130625/source/pre_20130625.de.pdf,Teilrevision der Nationalbankverordnung tritt in Kraft
136,/de/mmr/reference/pre_20130620_2/source/pre_20130620_2.de.pdf,Die Banken in der Schweiz 2012
137,/de/mmr/reference/pre_20130620_1/source/pre_20130620_1.de.pdf,Geldpolitische Lagebeurteilung vom 20. Juni 2013
138,/de/mmr/reference/pre_20130430/source/pre_20130430.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 31. März 2013
139,/de/mmr/reference/pre_20130405/source/pre_20130405.de.pdf,Revision der Überwachung von Finanzmarktinfrastrukturen: Nationalbank startet Vernehmlassung
140,/de/mmr/reference/pre_20130314/source/pre_20130314.de.pdf,Geldpolitische Lagebeurteilung vom 14. März 2013
141,/de/mmr/reference/pre_20130307/source/pre_20130307.de.pdf,Jahresergebnis 2012 der Schweizerischen Nationalbank
142,/de/mmr/reference/pre_20130213/source/pre_20130213.de.pdf,Antizyklischer Kapitalpuffer: Antrag der Schweizerischen Nationalbank und Entscheid des Bundesrates
143,/de/mmr/reference/pre_20130117/source/pre_20130117.de.pdf,Nationalbank erwartet Jahresgewinn von 6 Milliarden Franken
144,/de/mmr/reference/pre_20121220/source/pre_20121220.de.pdf,Verfügungen der Schweizerischen Nationalbank betreffend Systemrelevanz
