Bezirk_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_ABK,Bezirk_Name,Kanton_ID,Kanton_Name
1826,13,14,5,24,13,21,22,23,15,17,15,19,26,24,30,44,40,37,34,28,48,69,159,156,94,85,33,65,43,77,53,46,43,54,71,GR,Landquart,18,Graubünden
1827,49,36,34,23,24,34,29,30,20,20,29,26,40,26,32,60,32,46,28,25,27,58,72,64,29,33,35,65,67,47,42,60,32,67,76,GR,Maloja / Maloggia,18,Graubünden
1828,19,26,11,10,28,4,20,5,15,8,10,6,16,13,20,19,16,14,27,8,20,25,51,49,31,16,43,23,9,18,7,13,22,14,23,GR,Moesa,18,Graubünden
1829,66,75,79,58,48,60,41,68,34,44,44,53,39,67,112,111,104,119,82,91,102,166,334,360,177,119,104,131,183,132,164,163,117,112,136,GR,Plessur,18,Graubünden
1830,48,23,40,37,44,41,21,26,12,26,17,23,34,22,32,36,31,31,17,47,31,63,102,117,62,72,43,65,89,51,50,77,50,29,70,GR,Prättigau-Davos,18,Graubünden
1831,5,10,2,10,9,7,10,7,6,4,10,8,8,7,9,23,12,20,15,16,12,31,68,43,24,25,19,42,31,27,33,17,29,28,36,GR,Surselva,18,Graubünden
1901,84,119,148,87,103,117,94,90,70,61,92,85,96,67,209,152,232,126,144,224,148,288,378,301,288,549,293,351,295,244,211,230,372,326,466,AG,Aarau,19,Aargau
1902,287,392,433,323,366,372,300,291,246,195,208,272,257,305,549,491,491,327,405,576,352,643,540,579,486,770,600,776,498,695,520,517,689,551,770,AG,Baden,19,Aargau
1903,66,68,75,46,97,92,57,83,54,66,54,75,41,58,125,101,123,125,147,171,117,196,209,219,220,348,283,326,229,268,202,204,192,215,347,AG,Bremgarten,19,Aargau
1904,65,74,98,75,85,86,53,53,52,21,47,66,59,79,146,127,118,115,133,122,105,213,182,174,122,345,252,299,223,211,134,145,211,230,283,AG,Brugg,19,Aargau
1905,38,33,34,58,24,38,26,32,28,21,26,36,22,21,43,47,36,41,46,58,34,95,68,69,62,148,81,105,81,118,82,97,92,84,154,AG,Kulm,19,Aargau
1906,30,24,5,20,21,19,22,10,12,13,11,26,23,30,41,66,51,50,63,54,62,91,67,87,68,143,95,151,66,89,58,107,166,85,80,AG,Laufenburg,19,Aargau
1907,56,57,65,41,42,47,37,38,36,24,28,44,52,32,83,63,85,61,94,173,128,156,187,187,132,280,153,254,157,204,171,174,187,169,247,AG,Lenzburg,19,Aargau
1908,8,28,9,9,16,30,17,18,11,13,18,15,16,18,34,37,39,41,36,27,38,50,95,75,61,157,100,105,72,72,63,46,69,119,150,AG,Muri,19,Aargau
1909,61,75,63,51,69,69,58,52,24,53,26,51,59,65,132,87,131,99,92,126,102,168,108,193,217,297,176,232,137,190,132,136,197,186,250,AG,Rheinfelden,19,Aargau
1910,64,70,61,53,88,61,53,40,44,52,43,63,49,53,179,111,148,121,103,166,105,250,172,204,141,445,245,248,152,217,153,196,249,186,265,AG,Zofingen,19,Aargau
1911,60,39,57,37,47,40,42,47,45,33,31,47,30,40,86,81,81,65,62,99,89,112,118,96,121,182,117,147,101,142,96,64,93,89,113,AG,Zurzach,19,Aargau
2011,87,104,98,77,104,87,80,74,66,47,75,109,76,123,106,78,163,155,156,165,115,244,248,216,251,260,226,182,248,159,181,169,154,167,178,TG,Arbon,20,Thurgau
2012,87,56,70,62,92,90,77,73,39,30,52,76,75,118,83,74,116,107,114,173,110,202,226,200,300,290,250,250,216,190,217,169,160,218,188,TG,Frauenfeld,20,Thurgau
